[2023-11-23 15:58:14,944] MFFTP: success to link "ftp.ifremer.fr"
[2023-11-23 16:05:57,669] MFFTP: success to download "D2901620_145.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:06:00,086] MFFTP: success to download "D2901620_146.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:06:02,545] MFFTP: success to download "D2901620_147.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:06:04,980] MFFTP: success to download "D2901620_148.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:06:07,464] MFFTP: success to download "D2901620_149.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:06:09,914] MFFTP: success to download "D2901620_150.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:06:12,426] MFFTP: success to download "D2901620_151.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:06:14,856] MFFTP: success to download "D2901620_152.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:06:17,343] MFFTP: success to download "D2901620_153.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:06:19,795] MFFTP: success to download "D2901620_154.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:06:22,222] MFFTP: success to download "D2901620_155.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:06:24,650] MFFTP: success to download "D2901620_156.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:06:27,088] MFFTP: success to download "D2901620_157.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:06:29,508] MFFTP: success to download "D2901620_158.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:06:31,920] MFFTP: success to download "D2901620_159.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:06:34,356] MFFTP: success to download "D2901620_160.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:06:36,805] MFFTP: success to download "D2901620_161.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:06:39,263] MFFTP: success to download "D2901620_162.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:06:41,708] MFFTP: success to download "D2901620_163.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:06:47,957] MFFTP: success to download "D2901620_164.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:06:50,376] MFFTP: success to download "D2901620_165.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:06:52,823] MFFTP: success to download "D2901620_166.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:06:55,248] MFFTP: success to download "D2901620_167.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:06:57,700] MFFTP: success to download "D2901620_168.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:07:00,129] MFFTP: success to download "D2901620_169.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:07:02,576] MFFTP: success to download "D2901620_170.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:07:05,033] MFFTP: success to download "D2901620_171.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:07:07,444] MFFTP: success to download "D2901620_172.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:07:09,889] MFFTP: success to download "D2901620_173.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:07:12,480] MFFTP: success to download "D2901620_174.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
